<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2024.07.12	16:01:00	130075	130080	130055	130065	2859	11514	5
2024.07.12	16:02:00	130065	130080	130050	130075	1951	7348	5
2024.07.12	16:03:00	130070	130090	130065	130080	2026	8315	5
2024.07.12	16:04:00	130080	130085	130035	130035	3229	12903	5
2024.07.12	16:05:00	130035	130080	130035	130065	2719	13009	5
2024.07.12	16:06:00	130065	130100	130055	130095	2695	11255	5
2024.07.12	16:07:00	130095	130095	130075	130080	1955	7403	5
2024.07.12	16:08:00	130080	130095	130075	130090	1275	4377	5
2024.07.12	16:09:00	130090	130095	130060	130075	2746	11633	5
2024.07.12	16:10:00	130075	130095	130065	130080	2264	9430	5
2024.07.12	16:11:00	130080	130095	130055	130060	2023	8319	5
2024.07.12	16:12:00	130060	130070	130040	130045	2807	12226	5
2024.07.12	16:13:00	130045	130060	130020	130040	3468	13928	5
2024.07.12	16:14:00	130040	130070	130035	130055	2861	13876	5
2024.07.12	16:15:00	130055	130060	130030	130045	1942	7882	5
2024.07.12	16:16:00	130045	130050	130020	130025	2170	9631	5
2024.07.12	16:17:00	130025	130035	130005	130030	3285	14520	5
2024.07.12	16:18:00	130030	130045	130030	130040	1596	5743	5
2024.07.12	16:19:00	130040	130055	130030	130035	2045	8485	5
2024.07.12	16:20:00	130040	130060	130030	130035	2089	9484	5
2024.07.12	16:21:00	130035	130105	130030	130100	5649	26944	5
2024.07.12	16:22:00	130100	130120	130080	130110	5084	23225	5
2024.07.12	16:23:00	130110	130110	130085	130090	2387	8442	5
2024.07.12	16:24:00	130095	130120	130085	130115	2777	14701	5
2024.07.12	16:25:00	130115	130120	130080	130085	3796	17775	5
2024.07.12	16:26:00	130085	130095	130080	130095	1689	5797	5
2024.07.12	16:27:00	130090	130105	130080	130085	1889	8113	5
2024.07.12	16:28:00	130090	130090	130075	130080	1474	6708	5
2024.07.12	16:29:00	130080	130095	130070	130075	2011	7910	5
2024.07.12	16:30:00	130070	130080	130020	130020	6103	26493	5
2024.07.12	16:31:00	130025	130030	129975	130025	10651	41752	5
2024.07.12	16:32:00	130025	130035	129995	130025	3859	14054	5
2024.07.12	16:33:00	130020	130030	130005	130020	2374	8735	5
2024.07.12	16:34:00	130015	130065	130015	130055	5017	24336	5
2024.07.12	16:35:00	130055	130100	130050	130095	5832	24054	5
2024.07.12	16:36:00	130095	130130	130090	130125	7684	33264	5
2024.07.12	16:37:00	130130	130135	130085	130105	4766	20681	5
2024.07.12	16:38:00	130100	130130	130090	130105	3977	18250	5
2024.07.12	16:39:00	130100	130115	130075	130080	3450	14133	5
2024.07.12	16:40:00	130080	130095	130070	130085	2942	10090	5
2024.07.12	16:41:00	130085	130090	130050	130065	4637	17416	5
2024.07.12	16:42:00	130065	130070	130030	130045	3712	15982	5
2024.07.12	16:43:00	130050	130050	130015	130025	3432	14825	5
2024.07.12	16:44:00	130030	130080	130020	130065	5950	27535	5
2024.07.12	16:45:00	130060	130085	130040	130075	3975	15745	5
2024.07.12	16:46:00	130075	130090	130055	130055	3267	15883	5
2024.07.12	16:47:00	130050	130075	130050	130060	1706	6688	5
2024.07.12	16:48:00	130055	130080	130040	130070	3157	14735	5
2024.07.12	16:49:00	130070	130080	130035	130050	2647	11949	5
2024.07.12	16:50:00	130045	130050	129985	130005	9637	42320	5
2024.07.12	16:51:00	130005	130040	129995	130025	4756	21923	5
2024.07.12	16:52:00	130020	130025	129985	129995	3837	17557	5
2024.07.12	16:53:00	129990	130015	129950	129960	8584	44900	5
2024.07.12	16:54:00	129965	130025	129960	130005	5304	24199	5
2024.07.12	16:55:00	130005	130015	129980	129995	4268	19148	5
2024.07.12	16:56:00	129995	130020	129985	130005	2310	9371	5
2024.07.12	16:57:00	130005	130045	129990	130030	4134	19115	5
2024.07.12	16:58:00	130035	130040	130005	130015	2739	11926	5
2024.07.12	16:59:00	130015	130035	129980	130025	5305	24095	5
2024.07.12	17:00:00	130025	130055	129930	129965	12209	60024	5
2024.07.12	17:01:00	129965	129990	129910	129940	8675	41223	5
2024.07.12	17:02:00	129945	129960	129930	129955	3613	14578	5
2024.07.12	17:03:00	129955	129960	129920	129960	3296	16182	5
2024.07.12	17:04:00	129955	129970	129950	129950	2407	9049	5
2024.07.12	17:05:00	129955	129975	129940	129970	3056	11366	5
2024.07.12	17:06:00	129970	129990	129965	129965	2749	10724	5
2024.07.12	17:07:00	129965	129985	129950	129965	2402	9605	5
2024.07.12	17:08:00	129970	129970	129945	129950	1521	5799	5
2024.07.12	17:09:00	129950	129960	129915	129950	4853	20836	5
2024.07.12	17:10:00	129950	129960	129915	129945	4021	19186	5
2024.07.12	17:11:00	129945	129975	129945	129960	2222	9396	5
2024.07.12	17:12:00	129960	129970	129955	129965	984	3268	5
2024.07.12	17:13:00	129965	129975	129950	129960	1580	6935	5
2024.07.12	17:14:00	129965	129985	129940	129980	2409	10366	5
2024.07.12	17:15:00	129980	129985	129960	129960	1411	5707	5
2024.07.12	17:16:00	129960	129970	129935	129940	1626	6172	5
2024.07.12	17:17:00	129945	129950	129930	129935	1676	7284	5
2024.07.12	17:18:00	129930	129955	129930	129930	1768	9234	5
2024.07.12	17:19:00	129930	129940	129920	129940	1707	8395	5
2024.07.12	17:20:00	129935	129970	129935	129960	2115	8253	5
2024.07.12	17:21:00	129960	129960	129945	129955	982	3230	5
2024.07.12	17:22:00	129955	129960	129945	129950	1074	4212	5
2024.07.12	17:23:00	129950	129955	129940	129940	904	2239	5
2024.07.12	17:24:00	129940	129960	129940	129950	1184	4930	5
2024.07.12	17:25:00	129955	129975	129950	129975	1928	6496	5
2024.07.12	17:26:00	129975	129995	129965	129985	3298	13809	5
2024.07.12	17:27:00	129990	129990	129970	129975	1473	4720	5
2024.07.12	17:28:00	129980	129985	129965	129970	1111	3980	5
2024.07.12	17:29:00	129975	129985	129970	129975	836	2971	5
2024.07.12	17:30:00	129975	130010	129965	129990	4658	17654	5
2024.07.12	17:31:00	129990	130000	129980	129985	1265	4551	5
2024.07.12	17:32:00	129985	129995	129975	129985	1096	3392	5
2024.07.12	17:33:00	129980	130005	129980	129985	1175	4601	5
2024.07.12	17:34:00	129985	130000	129985	129990	950	2334	5
2024.07.12	17:35:00	129990	129995	129975	129975	1270	4173	5
2024.07.12	17:36:00	129980	129990	129970	129980	851	3794	5
2024.07.12	17:37:00	129980	129985	129965	129970	1374	5597	5
2024.07.12	17:38:00	129970	129980	129960	129970	1294	5263	5
2024.07.12	17:39:00	129970	129980	129970	129975	665	2256	5
2024.07.12	17:40:00	129975	130020	129960	130015	4388	19533	5
2024.07.12	17:41:00	130010	130015	129980	130010	2066	7976	5
2024.07.12	17:42:00	130005	130015	130005	130010	933	2518	5
2024.07.12	17:43:00	130015	130015	130000	130005	1016	3384	5
2024.07.12	17:44:00	130005	130010	129995	130000	944	4051	5
2024.07.12	17:45:00	130005	130025	130000	130000	1467	5691	5
2024.07.12	17:46:00	130005	130005	129990	129995	1187	4823	5
2024.07.12	17:47:00	129995	130030	129990	130030	1928	7890	5
2024.07.12	17:48:00	130025	130030	130010	130010	1496	4846	5
2024.07.12	17:49:00	130010	130015	130005	130005	808	2776	5
2024.07.12	17:50:00	130005	130030	130005	130020	1340	4179	5
2024.07.12	17:51:00	130020	130030	130020	130020	723	2537	5
2024.07.12	17:52:00	130025	130025	130010	130020	844	2463	5
2024.07.12	17:53:00	130015	130030	130015	130025	676	2148	5
2024.07.12	17:54:00	130025	130035	130010	130015	1457	5686	5
2024.07.12	17:55:00	130015	130035	130015	130025	927	3477	5
2024.07.12	17:56:00	130030	130030	130010	130010	765	2419	5
2024.07.12	17:57:00	130010	130020	129990	130000	2086	7201	5
2024.07.12	17:58:00	130000	130010	129995	130000	770	2864	5
2024.07.12	17:59:00	129995	130005	129970	129990	2629	9137	5
2024.07.12	18:00:00	129985	130010	129955	129995	3806	9210	5
2024.07.12	18:01:00	129995	130015	129995	130005	1090	2744	5
2024.07.12	18:02:00	130015	130020	130005	130010	798	1692	5
2024.07.12	18:03:00	130010	130020	130010	130010	605	1054	5
2024.07.12	18:04:00	130015	130020	130000	130010	1188	2753	5
2024.07.12	18:05:00	130015	130015	129995	129995	666	1865	5
2024.07.12	18:06:00	129995	130020	129995	130015	1077	2657	5
2024.07.12	18:07:00	130015	130025	130010	130015	818	2296	5
2024.07.12	18:08:00	130020	130020	130010	130010	756	1674	5
2024.07.12	18:09:00	130015	130020	130000	130005	768	2047	5
2024.07.12	18:10:00	130005	130030	129990	130015	1969	6471	5
2024.07.12	18:11:00	130015	130020	130000	130005	1311	2990	5
2024.07.12	18:12:00	130000	130010	130000	130000	462	1488	5
2024.07.12	18:13:00	130000	130020	129995	130010	1708	4112	5
2024.07.12	18:14:00	130015	130025	130005	130005	2540	8163	5
2024.07.12	18:15:00	130005	130025	130000	130020	4949	10439	5
2024.07.12	18:16:00	130020	130025	130005	130015	2230	4956	5
2024.07.12	18:17:00	130020	130030	130005	130025	1214	2882	5
2024.07.12	18:18:00	130025	130030	130015	130020	832	1760	5
2024.07.12	18:19:00	130020	130035	130015	130025	1498	3844	5
2024.07.12	18:20:00	130020	130035	129990	130020	2475	6132	5
2024.07.12	18:21:00	130015	130025	130010	130010	591	966	5
2024.07.12	18:22:00	130015	130065	130010	130045	1445	4658	5
2024.07.12	18:23:00	130050	130070	130035	130060	616	2577	5
2024.07.12	18:24:00	130060	130135	130055	130130	1734	16275	5
2024.07.15	09:00:00	129950	130035	129880	129905	15543	51985	5
2024.07.15	09:01:00	129895	130045	129885	129980	22674	60272	5
2024.07.15	09:02:00	129975	130010	129935	129970	11887	29588	5
2024.07.15	09:03:00	129970	129980	129825	129840	16934	46762	5
2024.07.15	09:04:00	129840	129880	129780	129820	18740	50020	5
2024.07.15	09:05:00	129825	129950	129805	129940	15275	48501	5
2024.07.15	09:06:00	129935	130015	129930	129980	16653	55867	5
2024.07.15	09:07:00	129980	130145	129980	130140	22206	77354	5
2024.07.15	09:08:00	130140	130200	130110	130155	21309	67208	5
2024.07.15	09:09:00	130160	130170	130100	130110	11490	38147	5
2024.07.15	09:10:00	130110	130135	130075	130125	13683	41960	5
2024.07.15	09:11:00	130130	130170	130110	130115	10211	34053	5
2024.07.15	09:12:00	130120	130130	130070	130100	9011	31273	5
2024.07.15	09:13:00	130100	130110	130045	130095	10083	34250	5
2024.07.15	09:14:00	130100	130130	130055	130065	7424	24896	5
2024.07.15	09:15:00	130065	130110	130055	130085	7395	23141	5
2024.07.15	09:16:00	130080	130095	130060	130075	3149	8795	5
2024.07.15	09:17:00	130075	130095	129980	130020	17414	60828	5
2024.07.15	09:18:00	130020	130055	129980	130045	10210	34299	5
2024.07.15	09:19:00	130045	130045	130000	130020	4519	13487	5
2024.07.15	09:20:00	130015	130050	129985	130030	7869	23010	5
2024.07.15	09:21:00	130030	130050	130025	130045	3721	10065	5
2024.07.15	09:22:00	130045	130075	130035	130045	8167	24679	5
2024.07.15	09:23:00	130040	130060	129960	129975	14460	49572	5
2024.07.15	09:24:00	129975	129985	129940	129975	12406	38872	5
2024.07.15	09:25:00	129975	130000	129940	129990	9686	31335	5
2024.07.15	09:26:00	129990	130015	129930	129940	9743	30769	5
2024.07.15	09:27:00	129940	129950	129930	129940	4255	12022	5
2024.07.15	09:28:00	129940	129970	129930	129955	6332	18242	5
2024.07.15	09:29:00	129950	129955	129930	129955	3413	9062	5
2024.07.15	09:30:00	129950	129980	129920	129970	9227	29921	5
2024.07.15	09:31:00	129965	129970	129930	129950	3881	12431	5
2024.07.15	09:32:00	129945	129960	129910	129960	10632	33485	5
2024.07.15	09:33:00	129960	129980	129890	129935	12959	44491	5
2024.07.15	09:34:00	129930	129935	129895	129905	5225	14424	5
2024.07.15	09:35:00	129910	129920	129880	129915	7480	21510	5
2024.07.15	09:36:00	129915	129935	129895	129895	6074	18316	5
2024.07.15	09:37:00	129895	129915	129870	129900	9824	32711	5
2024.07.15	09:38:00	129895	129920	129860	129880	8065	27068	5
2024.07.15	09:39:00	129880	129915	129865	129895	6042	18454	5
2024.07.15	09:40:00	129900	129905	129855	129865	5755	18292	5
2024.07.15	09:41:00	129865	129910	129860	129905	5984	19089	5
2024.07.15	09:42:00	129905	129910	129860	129870	3961	12160	5
2024.07.15	09:43:00	129865	129920	129865	129905	5155	17597	5
2024.07.15	09:44:00	129905	129930	129880	129880	5895	20795	5
2024.07.15	09:45:00	129885	129920	129880	129890	4305	14273	5
2024.07.15	09:46:00	129890	129925	129885	129910	4234	14002	5
2024.07.15	09:47:00	129915	129915	129890	129910	2533	7741	5
2024.07.15	09:48:00	129910	129940	129885	129930	6653	21214	5
2024.07.15	09:49:00	129935	129945	129905	129940	5181	16244	5
2024.07.15	09:50:00	129935	129945	129910	129910	5449	17543	5
2024.07.15	09:51:00	129915	129925	129875	129920	8255	28689	5
2024.07.15	09:52:00	129920	129945	129910	129940	4455	14363	5
2024.07.15	09:53:00	129940	129980	129925	129975	12690	42245	5
2024.07.15	09:54:00	129980	130000	129970	129985	11150	34759	5
2024.07.15	09:55:00	129985	130015	129975	130005	8560	28551	5
2024.07.15	09:56:00	130010	130025	129980	129995	9866	33058	5
2024.07.15	09:57:00	130000	130015	129980	130010	4355	13566	5
2024.07.15	09:58:00	130005	130045	129990	130040	7393	23774	5
2024.07.15	09:59:00	130045	130085	130025	130065	12878	42882	5
2024.07.15	10:00:00	130060	130105	130045	130050	14404	49346	5
2024.07.15	10:01:00	130050	130125	130030	130105	16461	55491	5
2024.07.15	10:02:00	130105	130145	130080	130145	12904	47805	5
2024.07.15	10:03:00	130140	130205	130130	130165	26747	95070	5
2024.07.15	10:04:00	130165	130255	130160	130245	19046	69429	5
2024.07.15	10:05:00	130245	130340	130230	130230	32395	114337	5
2024.07.15	10:06:00	130230	130270	130225	130245	10262	36085	5
2024.07.15	10:07:00	130245	130275	130185	130205	16138	55845	5
2024.07.15	10:08:00	130205	130250	130160	130215	17781	68120	5
2024.07.15	10:09:00	130215	130240	130110	130120	17105	62342	5
2024.07.15	10:10:00	130125	130130	130010	130020	29030	105459	5
2024.07.15	10:11:00	130020	130040	129970	129985	17399	62944	5
2024.07.15	10:12:00	129980	129985	129890	129910	22692	82786	5
2024.07.15	10:13:00	129905	129920	129810	129825	22640	80425	5
2024.07.15	10:14:00	129830	129900	129805	129890	17635	66319	5
2024.07.15	10:15:00	129890	129995	129890	129965	23894	84994	5
2024.07.15	10:16:00	129960	130030	129945	130010	15035	53834	5
2024.07.15	10:17:00	130015	130030	129970	129980	9108	29803	5
2024.07.15	10:18:00	129980	129990	129950	129950	8865	29340	5
2024.07.15	10:19:00	129955	129970	129910	129910	13611	43957	5
2024.07.15	10:20:00	129915	129930	129855	129860	18109	58643	5
2024.07.15	10:21:00	129860	129865	129790	129830	18287	64051	5
2024.07.15	10:22:00	129825	129880	129825	129870	11245	39996	5
2024.07.15	10:23:00	129870	129875	129830	129850	5493	17511	5
2024.07.15	10:24:00	129850	129850	129780	129805	12747	47199	5
2024.07.15	10:25:00	129810	129890	129800	129885	11962	43365	5
2024.07.15	10:26:00	129885	129885	129835	129875	7858	29201	5
2024.07.15	10:27:00	129870	130015	129860	130010	24563	88290	5
2024.07.15	10:28:00	130010	130085	129985	130035	25780	93971	5
2024.07.15	10:29:00	130030	130080	129990	130005	12838	43985	5
2024.07.15	10:30:00	130000	130085	129985	130040	20723	74649	5
2024.07.15	10:31:00	130040	130115	130015	130065	17372	54646	5
2024.07.15	10:32:00	130070	130075	129930	129935	28532	96044	5
2024.07.15	10:33:00	129935	129975	129850	129870	22217	74447	5
2024.07.15	10:34:00	129865	129870	129805	129825	16458	60658	5
2024.07.15	10:35:00	129820	129860	129760	129805	21352	76487	5
2024.07.15	10:36:00	129805	129855	129770	129795	16399	60841	5
2024.07.15	10:37:00	129800	129815	129760	129815	10945	37220	5
2024.07.15	10:38:00	129815	129895	129785	129875	16168	55654	5
2024.07.15	10:39:00	129880	129920	129805	129820	16361	59764	5
2024.07.15	10:40:00	129815	129855	129770	129790	14659	48239	5
2024.07.15	10:41:00	129790	129850	129775	129840	9319	30927	5
2024.07.15	10:42:00	129845	129900	129825	129870	10471	35480	5
2024.07.15	10:43:00	129865	129870	129750	129760	17480	64504	5
2024.07.15	10:44:00	129760	129835	129755	129820	11445	43099	5
2024.07.15	10:45:00	129815	129850	129770	129775	10818	36821	5
2024.07.15	10:46:00	129775	129810	129765	129805	7136	22231	5
2024.07.15	10:47:00	129810	129830	129765	129820	6930	22653	5
2024.07.15	10:48:00	129820	129900	129805	129875	16638	60698	5
2024.07.15	10:49:00	129875	129960	129870	129875	21187	70148	5
2024.07.15	10:50:00	129880	129890	129780	129825	18941	68446	5
2024.07.15	10:51:00	129820	129840	129785	129820	8290	28026	5
2024.07.15	10:52:00	129820	129845	129775	129825	8498	28285	5
2024.07.15	10:53:00	129825	129915	129825	129910	16568	58206	5
2024.07.15	10:54:00	129905	129925	129875	129885	8574	29558	5
2024.07.15	10:55:00	129885	129920	129840	129890	10737	38763	5
2024.07.15	10:56:00	129895	129940	129895	129920	8977	30862	5
2024.07.15	10:57:00	129920	129980	129900	129915	14807	50328	5
2024.07.15	10:58:00	129910	129970	129905	129965	6994	23674	5
2024.07.15	10:59:00	129960	130020	129930	129995	13545	46997	5
2024.07.15	11:00:00	129995	130010	129940	129985	14033	49345	5
2024.07.15	11:01:00	129985	130000	129925	129995	11084	40469	5
2024.07.15	11:02:00	129995	130035	129920	129950	20539	72497	5
2024.07.15	11:03:00	129945	129955	129890	129950	13333	46687	5
2024.07.15	11:04:00	129950	129965	129870	129915	15928	57200	5
2024.07.15	11:05:00	129915	129970	129910	129955	8652	33109	5
2024.07.15	11:06:00	129955	130015	129955	129970	13973	50728	5
2024.07.15	11:07:00	129975	130050	129970	130020	12590	44595	5
2024.07.15	11:08:00	130020	130065	130015	130035	9819	32778	5
2024.07.15	11:09:00	130035	130055	130020	130055	6772	22799	5
2024.07.15	11:10:00	130050	130065	130005	130025	9976	37615	5
2024.07.15	11:11:00	130025	130040	129960	129965	12493	44679	5
2024.07.15	11:12:00	129965	129970	129925	129950	11926	42654	5
2024.07.15	11:13:00	129950	129965	129915	129925	8015	29917	5
2024.07.15	11:14:00	129930	129930	129875	129900	13869	50074	5
2024.07.15	11:15:00	129900	129960	129880	129940	12432	44592	5
2024.07.15	11:16:00	129935	129950	129915	129930	5860	21276	5
2024.07.15	11:17:00	129930	129945	129890	129925	7389	27394	5
2024.07.15	11:18:00	129925	129930	129870	129910	9059	33303	5
2024.07.15	11:19:00	129910	129985	129890	129965	10720	40867	5
2024.07.15	11:20:00	129960	130010	129945	129990	13026	49037	5
2024.07.15	11:21:00	129990	129995	129915	129935	10959	43049	5
2024.07.15	11:22:00	129940	130005	129930	129990	8328	29523	5
2024.07.15	11:23:00	129995	130040	129985	130035	10841	39944	5
2024.07.15	11:24:00	130035	130080	130015	130070	17063	64493	5
2024.07.15	11:25:00	130065	130075	129990	130020	13417	46542	5
2024.07.15	11:26:00	130020	130080	130010	130025	11629	45128	5
2024.07.15	11:27:00	130020	130050	129980	129995	8866	35043	5
2024.07.15	11:28:00	129995	130040	129980	130020	6368	22657	5
2024.07.15	11:29:00	130025	130045	130005	130040	3920	12934	5
2024.07.15	11:30:00	130040	130095	129995	130070	16115	63225	5
2024.07.15	11:31:00	130065	130070	130020	130045	7078	25721	5
2024.07.15	11:32:00	130040	130050	129995	130005	8069	31671	5
2024.07.15	11:33:00	130010	130025	129975	130020	10058	37314	5
2024.07.15	11:34:00	130020	130045	130000	130010	6157	23431	5
2024.07.15	11:35:00	130005	130045	130000	130040	4014	16952	5
2024.07.15	11:36:00	130040	130060	129985	129985	8244	32121	5
2024.07.15	11:37:00	129990	130005	129945	129980	14619	57474	5
2024.07.15	11:38:00	129985	130000	129945	129975	6208	23366	5
2024.07.15	11:39:00	129975	129990	129930	129960	8170	30543	5
2024.07.15	11:40:00	129965	129975	129930	129955	8356	31339	5
2024.07.15	11:41:00	129955	129965	129935	129950	3987	16137	5
2024.07.15	11:42:00	129955	129960	129915	129950	6702	22902	5
2024.07.15	11:43:00	129955	129965	129900	129920	8164	30115	5
2024.07.15	11:44:00	129915	129935	129895	129920	5619	21250	5
2024.07.15	11:45:00	129915	129955	129915	129930	5614	22799	5
2024.07.15	11:46:00	129935	129970	129925	129965	7347	28772	5
2024.07.15	11:47:00	129970	130015	129960	130005	10464	41379	5
2024.07.15	11:48:00	130005	130070	129975	130070	14863	56256	5
2024.07.15	11:49:00	130065	130170	130065	130130	27196	98761	5
2024.07.15	11:50:00	130130	130150	130095	130115	11983	47831	5
2024.07.15	11:51:00	130115	130180	130095	130145	12433	47363	5
2024.07.15	11:52:00	130145	130245	130125	130235	18852	69517	5
2024.07.15	11:53:00	130235	130290	130205	130250	17041	63251	5
2024.07.15	11:54:00	130250	130260	130200	130245	10093	39262	5
2024.07.15	11:55:00	130250	130315	130245	130310	13368	49249	5
2024.07.15	11:56:00	130310	130320	130245	130255	11164	40264	5
2024.07.15	11:57:00	130255	130270	130190	130210	13437	45295	5
2024.07.15	11:58:00	130215	130250	130195	130210	9186	33215	5
2024.07.15	11:59:00	130205	130215	130170	130170	10564	37567	5
2024.07.15	12:00:00	130175	130230	130170	130190	9291	33797	5
2024.07.15	12:01:00	130195	130230	130180	130180	6505	23551	5
2024.07.15	12:02:00	130180	130210	130150	130200	10320	37411	5
2024.07.15	12:03:00	130200	130200	130140	130175	8486	31694	5
2024.07.15	12:04:00	130175	130175	130085	130100	14473	52762	5
2024.07.15	12:05:00	130095	130150	130095	130135	9202	37143	5
2024.07.15	12:06:00	130130	130140	130095	130115	6822	29517	5
2024.07.15	12:07:00	130120	130130	130095	130120	4843	17995	5
2024.07.15	12:08:00	130120	130145	130095	130100	5613	19911	5
2024.07.15	12:09:00	130100	130105	130070	130080	9008	36341	5
2024.07.15	12:10:00	130075	130100	130060	130095	7901	30056	5
2024.07.15	12:11:00	130095	130120	130040	130055	11511	42377	5
2024.07.15	12:12:00	130050	130085	130050	130055	5428	18037	5
2024.07.15	12:13:00	130060	130100	130040	130070	7214	26874	5
2024.07.15	12:14:00	130075	130125	130055	130100	8050	31796	5
2024.07.15	12:15:00	130095	130120	130075	130090	5754	21145	5
2024.07.15	12:16:00	130090	130105	130045	130075	6702	22903	5
2024.07.15	12:17:00	130075	130095	130065	130065	2998	10362	5
2024.07.15	12:18:00	130070	130105	130065	130100	3380	13204	5
2024.07.15	12:19:00	130100	130100	130035	130040	6978	27331	5
2024.07.15	12:20:00	130040	130115	130040	130085	9433	35689	5
2024.07.15	12:21:00	130085	130100	130055	130065	3661	13333	5
2024.07.15	12:22:00	130060	130075	130015	130050	9077	31792	5
2024.07.15	12:23:00	130045	130070	130040	130055	3944	15002	5
2024.07.15	12:24:00	130055	130075	130050	130060	2511	10113	5
2024.07.15	12:25:00	130060	130090	130040	130050	7801	27144	5
2024.07.15	12:26:00	130050	130095	130050	130090	5088	20331	5
2024.07.15	12:27:00	130085	130110	130070	130075	5313	20846	5
2024.07.15	12:28:00	130075	130140	130070	130140	10211	39656	5
2024.07.15	12:29:00	130140	130155	130110	130150	8580	31885	5
2024.07.15	12:30:00	130155	130180	130140	130165	9610	34633	5
2024.07.15	12:31:00	130160	130200	130145	130170	8932	33502	5
2024.07.15	12:32:00	130175	130200	130170	130190	3695	12566	5
2024.07.15	12:33:00	130190	130270	130185	130255	11764	43260	5
2024.07.15	12:34:00	130255	130285	130210	130240	12529	49470	5
2024.07.15	12:35:00	130245	130285	130235	130255	7602	29672	5
2024.07.15	12:36:00	130255	130335	130240	130310	14263	53191	5
2024.07.15	12:37:00	130310	130375	130305	130345	12310	47784	5
2024.07.15	12:38:00	130345	130380	130335	130350	6915	26817	5
2024.07.15	12:39:00	130350	130380	130340	130370	5568	19489	5
2024.07.15	12:40:00	130365	130390	130325	130355	13139	50161	5
2024.07.15	12:41:00	130355	130360	130290	130320	11268	42443	5
2024.07.15	12:42:00	130320	130350	130305	130335	6362	26719	5
2024.07.15	12:43:00	130340	130345	130310	130335	4359	16402	5
2024.07.15	12:44:00	130330	130335	130290	130305	6699	23562	5
2024.07.15	12:45:00	130310	130335	130275	130310	8685	32560	5
2024.07.15	12:46:00	130310	130310	130260	130300	8346	30761	5
2024.07.15	12:47:00	130305	130310	130270	130295	3672	14261	5
2024.07.15	12:48:00	130295	130355	130280	130335	7360	29021	5
2024.07.15	12:49:00	130330	130340	130285	130305	6681	28519	5
2024.07.15	12:50:00	130305	130330	130280	130320	5450	23777	5
2024.07.15	12:51:00	130320	130335	130285	130285	3432	13177	5
2024.07.15	12:52:00	130285	130310	130260	130295	5735	20395	5
2024.07.15	12:53:00	130295	130335	130290	130320	3945	16392	5
2024.07.15	12:54:00	130315	130360	130310	130350	5634	20241	5
2024.07.15	12:55:00	130350	130415	130340	130385	11794	41632	5
2024.07.15	12:56:00	130390	130410	130365	130375	8739	33386	5
2024.07.15	12:57:00	130375	130390	130365	130365	3073	10326	5
2024.07.15	12:58:00	130365	130370	130335	130355	6523	23369	5
2024.07.15	12:59:00	130360	130405	130345	130360	5885	21440	5
2024.07.15	13:00:00	130360	130370	130335	130345	6118	23842	5
2024.07.15	13:01:00	130350	130375	130335	130340	4576	14289	5
2024.07.15	13:02:00	130340	130380	130335	130355	4684	16804	5
2024.07.15	13:03:00	130355	130380	130340	130355	3699	13971	5
2024.07.15	13:04:00	130355	130375	130340	130350	3457	12202	5
2024.07.15	13:05:00	130350	130355	130310	130310	8085	30021	5
2024.07.15	13:06:00	130310	130340	130295	130330	7557	28736	5
